+------------+-----------------+----------------+
| b1         | b2              | sum_num_curves |
|       1000 |         1000000 |            200 |
|    2100100 |       200100100 |            200 |
|      70000 |         7300000 |            199 |
|     250000 |        38500000 |            175 |
|   30000000 |      3000000000 |            160 |
|   11000000 |       110000000 |            151 |
|  900000000 |     90000000000 |            150 |
|   25000000 |      2500000000 |            150 |
|    4000000 |       400000000 |            150 |
|  260000000 |   1000000000000 |            150 |
|    2500000 |       250000000 |            150 |
|    3000000 |       100000000 |            150 |
|     250000 |        50000000 |            140 |
|  850000000 |  14142901172416 |            135 |
|  110000000 |    100000000000 |            134 |
|     100000 |        13600000 |            133 |
|      76620 |        15000000 |            129 |
|      51000 |         5000000 |            123 |
|      50000 |          500000 |            110 |
|     250000 |       129632592 |            108 |
|      50000 |         6400000 |            104 |
|     100000 |        10000000 |            103 |
|   11000000 |      2500000000 |            100 |
|  850000000 |       850000000 |            100 |
| 2147483648 |      2147483648 |            100 |
|   10000000 |       250000000 |            100 |
|      45000 |         4500000 |            100 |
|  850000000 |  10000000000000 |            100 |
|      50000 |         5000001 |             96 |
|      50000 |         6500000 |             90 |
|       1000 |           65000 |             90 |
|    3000000 |      3000000000 |             90 |
|      76620 |        30000000 |             83 |
|      50000 |        10000000 |             78 |
|      75000 |         7500000 |             77 |
|     500000 |        50000000 |             65 |
|      50000 |         5400000 |             62 |
| 6000000000 |      6000000000 |             60 |
|  500000000 |   6704868340188 |             60 |
|     250000 |       183032866 |             59 |
|  110000000 |    900514153782 |             58 |
|    1000000 |       974637522 |             58 |
|      70000 |         7100000 |             52 |
|   23359695 |      2335969500 |             50 |
|  850000000 | 100000000000000 |             50 |
|  850000000 |     10000000000 |             50 |
|      10000 |         1000000 |             48 |
|   44000000 |    251421670516 |             43 |
|      50000 |               0 |             42 |
|   10000000 |      1000000000 |             36 |
|      50000 |         4650000 |             36 |
|     200000 |        20000000 |             36 |
|      50000 |         4850000 |             36 |
|     100000 |        13800000 |             35 |
|  260000000 |   3079973376496 |             33 |
|  180000000 |       180000000 |             32 |
| 1000000000 |    100000000000 |             30 |
|      50000 |         5200000 |             30 |
|      50000 |         4900000 |             28 |
|     100000 |        12700000 |             28 |
|    3000000 |       528000000 |             28 |
|  110000000 |      2500000000 |             26 |
|   10000000 |       100000000 |             26 |
|      25000 |         5000000 |             25 |
| 2900000000 | 100000000000000 |             22 |
|     150000 |        20550000 |             21 |
|     100000 |        11893855 |             21 |
|     100000 |        14413889 |             21 |
|     250000 |        36500000 |             21 |
|  850000000 |     85000000000 |             20 |
|     250000 |       145000000 |             20 |
|      50000 |         6300000 |             20 |
|      50000 |         5900000 |             19 |
|      50000 |         4150000 |             18 |
|      75000 |        10500000 |             18 |
|     250000 |       124922710 |             18 |
|   11000000 |       310000000 |             15 |
|      50000 |         6050000 |             15 |
|     100000 |        11125212 |             14 |
|     100000 |        12625951 |             14 |
|     100000 |        12255006 |             14 |
|     100000 |        10500000 |             14 |
|     235000 |        23500000 |             13 |
| 1200000000 |      1200000000 |             13 |
| 1500000000 |      1500000000 |             13 |
|      50000 |         6646918 |             12 |
|      10000 |         5000000 |             12 |
| 1600000000 |      1600000000 |             12 |
|   10100100 |       900100100 |             12 |
|      50000 |         5750000 |             12 |
|  880000000 |      1320000000 |             11 |
| 2900000000 |      2900000000 |             10 |
|  110000000 |    110000000000 |             10 |
|  850000000 |  15716618487586 |             10 |
|  880000000 |       880000000 |              9 |
| 1320000000 |      1320000000 |              9 |
|      50000 |         5270912 |              8 |
|      50000 |    219716459349 |              7 |
|     250000 |        37569102 |              7 |
|     100000 |        12277371 |              7 |
|     100000 |        13725214 |              7 |
|      50000 |         6470424 |              7 |
|      50000 |         5630013 |              7 |
|     100000 |        12600602 |              7 |
|     250000 |        35880562 |              7 |
|      50000 |         6606829 |              7 |
|      50000 |         6180426 |              7 |
|     100000 |        13585673 |              7 |
| 2900000000 | 105000000000000 |              1 |
| 7600000000 | 420000000000000 |              1 |
+------------+-----------------+----------------+

|      50000 |         5000000 |        1677857 |
|      50000 |         6600000 |         999262 |
|     250000 |        35000000 |         893621 |
|     250000 |        25000000 |         799660 |
|   11000000 |     36578884662 |         655200 |
|    3000000 |       300000000 |         609739 |
|    1000000 |       100000000 |         466338 |
|      10000 |          100000 |         367998 |
|      50000 |         6750000 |         224642 |
|     250000 |        38500000 |         129397 |
|    3000000 |       528000000 |          91525 |
|     250000 |        36750000 |          65752 |
|   11000000 |      1100000000 |          65558 |
|      50000 |         6500000 |          64351 |
|      50000 |           50000 |          53830 |
|      50000 |         6650000 |          22570 |
|      50000 |         6800000 |          21660 |
|   11000000 |      2024000000 |          21314 |
|      50000 |         6700000 |          21285 |
|      50000 |        14400000 |          21110 |
|      50000 |         5150000 |          18641 |
|      50000 |         6350000 |          17408 |
|      50000 |         6450000 |          17234 |
|     250000 |        38000000 |          17103 |
|    3000000 |       321000000 |          15665 |
|  110000000 |    900514153782 |          13149 |
|    1000000 |       168000000 |          12853 |
|  110000000 |  14408226460512 |          11966 |
|      50000 |         6900000 |          11512 |
| 2900000000 | 105101237217912 |          11276 |
|     250000 |        38750000 |          10088 |
|        120 |           12000 |          10000 |
|      50000 |         5200000 |           9933 |
|      50000 |         4800000 |           9069 |
|     250000 |        37750000 |           8817 |
|    3000000 |       339000000 |           8250 |
|  190000000 |   1676277295782 |           8000 |
|      50000 |         6300000 |           6636 |
|    3000000 |       378000000 |           6550 |
|      50000 |         4700000 |           6167 |
|     250000 |        36250000 |           5723 |
|   48000000 |    279380917212 |           5000 |
|  260000000 |    251637345976 |           4800 |
|      50000 |         6550000 |           4095 |
|      50000 |         6200000 |           4095 |
|      50000 |         5000001 |           3839 |
|      80000 |        11280000 |           3714 |
|     250000 |        37250000 |           3601 |
|   11000000 |     30114149530 |           3584 |
|      50000 |         5450000 |           3577 |
|    3000000 |       492000000 |           3300 |
|      50000 |         8000000 |           3283 |
|      50000 |         7150000 |           3136 |
|    1000000 |       149000000 |           3013 |
|   11000000 |       869000000 |           3000 |
|      50000 |         5300000 |           2948 |
|    1000000 |         1000000 |           2900 |
|     580469 |        92875040 |           2772 |
|     250000 |        38250000 |           2770 |
|    1000000 |       135000000 |           2470 |
|     586328 |        94398808 |           2416 |
|      50000 |         4900000 |           2373 |
|      50000 |         5400000 |           2359 |
|     250000 |        36000000 |           2293 |
|   44000000 |    251421670516 |           2240 |
|     582813 |        93250080 |           2142 |
|    1000000 |       137000000 |           2135 |
|   11000000 |      1500000000 |           2000 |
|      50000 |         6150000 |           1961 |
|   44000000 |      4400000000 |           1953 |
|      50000 |         5750000 |           1918 |
|      50000 |         6400000 |           1843 |
|      50000 |         4650000 |           1806 |
|      50000 |         7000000 |           1756 |
|  110000000 |     11000000000 |           1607 |
|    3000000 |       400000000 |           1500 |
|   11000000 |      1276000000 |           1500 |
|      50000 |         5850000 |           1484 |
|  260000000 |     26000000000 |           1467 |
|      50000 |         4500000 |           1407 |
|      50000 |         6735632 |           1400 |
|      50000 |         6050000 |           1268 |
|     575781 |        91549179 |           1256 |
|      50000 |         4350000 |           1197 |
|  800000000 |     80000000000 |           1183 |
|     250000 |        38392042 |           1162 |
|  110000000 |     16830000000 |           1150 |
|     250000 |        28000000 |           1106 |
|     250000 |        33916012 |           1050 |
|     587500 |        94587500 |           1050 |
|    1000000 |       141609482 |           1029 |
|     250000 |        35750000 |           1011 |
|       5000 |         5000000 |           1002 |
|   72368421 |     14256578937 |           1000 |
|    3000000 |       491465552 |           1000 |
|   70000000 |     13790000000 |           1000 |
|      50000 |        11000000 |           1000 |
|    3000000 |       439215871 |           1000 |
|    3000000 |       394461752 |           1000 |
|    3000000 |       310826868 |           1000 |
+------------+-----------------+----------------+
Data from 2022 (Jan01-Jun05):
Code:
+------------+----------------+----------------+
| b1         | b2             | sum_num_curves |
+------------+----------------+----------------+
|    3000000 |      300000000 |         384407 |
|      50000 |        7500000 |         332667 |
|      50000 |        5000000 |         323857 |
|      50000 |        6600000 |         253778 |
|     250000 |       35000000 |         219877 |
|     250000 |       40000000 |         189183 |
|     250000 |       36750000 |         116968 |
|     250000 |       25000000 |          84889 |
|    3000000 |      321000000 |          74434 |
|      50000 |        8000000 |          42133 |
|     250000 |      125000000 |          35500 |
|      50000 |        7000000 |          35071 |
|      50000 |        6750000 |          29368 |
|   11000000 |     1100000000 |          26948 |
|      50000 |        6900000 |          23211 |
|      50000 |       10000000 |          20001 |
|      50000 |          50000 |          19855 |
|     250000 |       38500000 |          18942 |
|    1000000 |      100000000 |          16777 |
|    3000000 |      528000000 |          10830 |
| 1000000000 | 19071176724616 |           8961 |
|      50000 |       14400000 |           8750 |
|     250000 |       36250000 |           8309 |
|      50000 |        7150000 |           8083 |
|     250000 |       45000000 |           7400 |
|     250000 |       36000000 |           6853 |
|     250000 |       35500000 |           5243 |
|    1000000 |    10000000000 |           5000 |
|     250000 |       33000000 |           4872 |
|      50000 |        6700000 |           4685 |
|    3000000 |              0 |           4000 |
|     250000 |       34750000 |           3713 |
|     250000 |       31250000 |           3604 |
|    1000000 |      147000000 |           3542 |
|     250000 |       34250000 |           3488 |
|      50000 |        5150000 |           3463 |
|   11000000 |     2024000000 |           2890 |
|     250000 |       37750000 |           2769 |
|      50000 |        7050000 |           2642 |
|     250000 |       35250000 |           2524 |
|     250000 |       44000000 |           2499 |
|     250000 |       37250000 |           2268 |
|      50000 |        5300000 |           2170 |
|    1000000 |      146000000 |           2138 |
|      50000 |        5600000 |           2080 |
|     250000 |       27500000 |           2051 |
|     250000 |       33750000 |           2031 |
|      50000 |        5450000 |           1960 |
|    3000000 |      339000000 |           1953 |
|  900000000 |              0 |           1500 |
|     250000 |       32250000 |           1491 |
|      50000 |        6450000 |           1471 |
|     250000 |       28000000 |           1470 |
|     250000 |       38000000 |           1363 |
|     250000 |       36500000 |           1305 |
|   11000000 |      500000000 |           1300 |
|    1000000 |      132000000 |           1262 |
|      50000 |        6350000 |           1219 |
|      50000 |        6250000 |           1205 |
|      50000 |        6500000 |           1179 |
|    3000000 |      419049774 |           1140 |
|      50000 |        6650000 |           1133 |
|      50000 |        6800000 |           1101 |
|    1000000 |      149000000 |           1072 |
|      50000 |        6400000 |           1064 |
|   11000000 |     1639000000 |           1050 |
|     250000 |       29000000 |           1043 |
|      50000 |        3100000 |           1029 |
|    3000000 |      456000000 |           1000 |
|    3000000 |      387458198 |           1000 |
|    3000000 |      477000000 |           1000 |
|   20000000 |      500000000 |           1000 |
|      50000 |        6850000 |            888 |
|   44000000 |     4400000000 |            880 |
|     250000 |       28500000 |            876 |
|   11000000 |     1672000000 |            800 |
|    3000000 |      402000000 |            780 |
|    1000000 |      138000000 |            717 |
|    3000000 |      299857755 |            700 |
|    1000000 |      142484923 |            700 |
|    1000000 |      162000000 |            680 |
|      50000 |        3650000 |            679 |
|      50000 |        4200000 |            651 |
|   11000000 |       11000000 |            630 |
|     250000 |       33500000 |            598 |
|  110000000 |      110000000 |            585 |
|      50000 |        5900000 |            581 |
|    3000000 |        3000000 |            550 |
|    1000000 |      148994457 |            543 |
|    1000000 |      148992598 |            543 |
|    1000000 |      147657039 |            543 |
|      50000 |        7113794 |            539 |
|    1000000 |      148998136 |            538 |
|    1000000 |      148396786 |            536 |
|    1000000 |      148542997 |            536 |
|    1000000 |      147716734 |            536 |
|    1000000 |      148976761 |            536 |
|    1000000 |      148998135 |            536 |
|  110000000 | 10000000000000 |            536 |
|    1000000 |      148352361 |            536 |
